patatas,CUADERNO,Crear, 10/1/2020 17:40:52, Se creo un nuevo cuaderno con nombre: monica
patatas,NOTA,Crear, 10/1/2020 17:42:07, Se creo una nueva nota con nombre: holis que hace
patatas,NOTA,Buscar, 10/1/2020 17:42:19, Se buscaron notas con NOMBRE holis
patatas,NOTA,Buscar, 10/1/2020 17:42:28, Se buscaron notas con CATEGORIA holis
patatas,CUADERNO,Crear, 10/1/2020 19:51:29, Se creo un nuevo cuaderno con nombre: Programacion II
patatas,NOTA,Crear, 10/1/2020 19:52:04, Se creo una nueva nota con nombre: Monica 
patatas,NOTA,Crear, 10/1/2020 19:53:33, Se creo una nueva nota con nombre: Daniel
patatas,CUADERNO,Ver Notas Ocultas, 10/1/2020 19:53:48, Se vieron las notas ocultas del cuaderno Programacion II
patatas,NOTA,Crear, 10/1/2020 19:57:23, Se creo una nueva nota con nombre: mate
patatas,NOTA,Crear, 10/1/2020 19:57:59, Se creo una nueva nota con nombre: Matematicas
patatas,NOTA,Buscar, 10/1/2020 19:58:14, Se buscaron notas con NOMBRE mate
patatas,NOTA,Crear, 10/1/2020 19:58:50, Se creo una nueva nota con nombre: matematicas
patatas,NOTA,Buscar, 10/1/2020 19:58:55, Se buscaron notas con NOMBRE mate
patatas,CUADERNO,Eliminar, 10/1/2020 19:59:34, Se eliminó un nuevo cuaderno con nombre: Programacion II
patatas,CUADERNO,Crear, 10/1/2020 20:00:02, Se creo un nuevo cuaderno con nombre: Programacion II
patatas,CUADERNO,Crear, 10/1/2020 21:18:15, Se creo un nuevo cuaderno con nombre: Programacion II
patatas,CUADERNO,Crear, 10/1/2020 21:18:48, Se creo un nuevo cuaderno con nombre: Matematicas
patatas,CUADERNO,Crear, 10/1/2020 21:19:19, Se creo un nuevo cuaderno con nombre: Español
patatas,CUADERNO,Crear, 10/1/2020 21:19:34, Se creo un nuevo cuaderno con nombre: Sociales
patatas,CUADERNO,Crear, 10/1/2020 21:19:46, Se creo un nuevo cuaderno con nombre: jumii
patatas,CUADERNO,Crear, 10/1/2020 21:20:12, Se creo un nuevo cuaderno con nombre: puto el que lo lea
